1,Talk is cheap. Show me the code. — Linus Torvalds
2,"Programs must be written for people to read, and only incidentally for machines to execute. — Harold Abelson"
3,"First, solve the problem. Then, write the code. — John Johnson"
4,The best error message is the one that never shows up. — Thomas Fuchs
5,"Code is like humor. When you have to explain it, it’s bad. — Cory House"
6,Software is a great combination between artistry and engineering. — Bill Gates
7,The most disastrous thing that you can ever learn is your first programming language. — Alan Kay
8,Any fool can write code that a computer can understand. Good programmers write code that humans can understand. — Martin Fowler
9,Experience is the name everyone gives to their mistakes. — Oscar Wilde
10,Simplicity is the soul of efficiency. — Austin Freeman
11,Programs are meant to be read by humans and only incidentally for computers to execute. — Donald Knuth
12,"Sometimes it pays to stay in bed on Monday, rather than spending the rest of the week debugging Monday’s code. — Dan Salomon"
13,It’s not a bug – it’s an undocumented feature. — Anonymous
14,Computers are fast; programmers keep it slow. — Anonymous
15,Deleted code is debugged code. — Jeff Sickel
16,The function of good software is to make the complex appear simple. — Grady Booch
17,A good programmer is someone who always looks both ways before crossing a one-way street. — Doug Linder
18,"If debugging is the process of removing bugs, then programming must be the process of putting them in. — Edsger Dijkstra"
19,Walking on water and developing software from a specification are easy if both are frozen. — Edward V Berard
20,The best way to get a project done faster is to start sooner. — Jim Highsmith
21,There are only two kinds of programming languages: those people always bitch about and those nobody uses. — Bjarne Stroustrup
22,"You can’t have great software without a great team, and most software teams behave like dysfunctional families. — Jim McCarthy"
23,The only way to learn a new programming language is by writing programs in it. — Dennis Ritchie
24,One man’s crappy software is another man’s full-time job. — Jessica Gaston
25,Before software can be reusable it first has to be usable. — Ralph Johnson
26,Measuring programming progress by lines of code is like measuring aircraft building progress by weight. — Bill Gates
27,"To iterate is human, to recurse divine. — L. Peter Deutsch"
28,The most important property of a program is whether it accomplishes the intention of its user. — C.A.R. Hoare
29,Programming isn’t about what you know; it’s about what you can figure out. — Chris Pine
30,"The sooner you start to code, the longer the program will take. — Roy Carlson"
31,"If you automate a mess, you get an automated mess. — Rod Michael"
32,"Computers are good at following instructions, but not at reading your mind. — Donald Knuth"
33,Simplicity is prerequisite for reliability. — Edsger Dijkstra
34,Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live. — John Woods
35,There’s nothing quite like knocking out code and having it work the first time. — Anonymous
36,Any sufficiently advanced bug is indistinguishable from a feature. — Rich Kulawiec
37,"The best thing about a boolean is even if you are wrong, you are only off by a bit. — Anonymous"
38,Weeks of coding can save you hours of planning. — Anonymous
39,Never underestimate the bandwidth of a station wagon full of tapes hurtling down the highway. — Andrew S. Tanenbaum
40,You should name a variable using the same care with which you name a first-born child. — Robert C. Martin
41,Programming is like writing a book... except if you miss out a single comma on page 126 the whole thing makes no sense. — Anonymous
42,"In theory, there is no difference between theory and practice. But, in practice, there is. — Jan L. A. van de Snepscheut"
43,"Software testing is a sport like hunting, it’s bug-hunting. — Amit Kalantri"
44,Real programmers count from 0. — Anonymous
45,"Any application that can be written in JavaScript, will eventually be written in JavaScript. — Jeff Atwood"
46,Sometimes the elegant implementation is just a function. Not a method. Not a class. Not a framework. Just a function. — John Carmack
47,"The web is like a dominatrix. Everywhere I turn, I see little buttons ordering me to submit. — Nytwind"
48,There is always one more bug to fix. — Ellen Ullman
49,Good code is its own best documentation. — Steve McConnell
50,I am so clever that sometimes I don’t understand a single word of what I am saying. — Oscar Wilde
51,"I used to think I was indecisive, but now I'm not too sure. — Anonymous"
52,Behind every great man is a woman rolling her eyes. — Jim Carrey
53,I'm writing a book. I've got the page numbers done. — Steven Wright
54,"I always wanted to be somebody, but now I realize I should have been more specific. — Lily Tomlin"
55,Why do they call it rush hour when nothing moves? — Robin Williams
56,"If at first you don't succeed, then skydiving definitely isn't for you. — Steven Wright"
57,"A day without sunshine is like, you know, night. — Steve Martin"
58,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book. — Groucho Marx"
59,The road to success is always under construction. — Lily Tomlin
60,The best way to get started is to quit talking and begin doing. — Walt Disney
61,Life is what happens when you're busy making other plans. — John Lennon
62,"Your time is limited, so don’t waste it living someone else’s life. — Steve Jobs"
63,"Success is not final, failure is not fatal: It is the courage to continue that counts. — Winston Churchill"
64,Don’t watch the clock; do what it does. Keep going. — Sam Levenson
65,"Whether you think you can or you think you can’t, you’re right. — Henry Ford"
66,The only limit to our realization of tomorrow is our doubts of today. — Franklin D. Roosevelt
67,"Do what you can, with what you have, where you are. — Theodore Roosevelt"
68,Hardships often prepare ordinary people for an extraordinary destiny. — C.S. Lewis
69,Believe you can and you're halfway there. — Theodore Roosevelt
70,The future belongs to those who believe in the beauty of their dreams. — Eleanor Roosevelt
